occupation_code,occupation_desc,occupation_code_norm
RCENGR,Engr Royal,RCENGR
RCR,Rrp,RCR
RE,Rfg Rfgat Attendant Nuns) (For,RE
REAGT,Agent,REAGT
REAL,Estate,REAL
REGAN,Pat,REGAN
RENAN,"1053, Record Block **Wt2 Mgt.",RENAN
RENTER,Refrigerator Refrigerator Religious Religious-Notre,RENTER
REPORTER,Rentier,REPORTER
RESTORER,Restaurant,RESTORER
RETIRED,Retired Merchant,RETIRED
REVITER,Maker R~Tort,REVITER
RFMK,Rolr,RFMK
RGR,Rbm,RGR
RIBBON,... Maker,RIBBON
RIDER,Blhgr Bcr,RIDER
RLR,Rcengr,RLR
RMNFTR,Rngr,RMNFTR
ROLLER,Rigger ·­,ROLLER
ROOF,Maker,ROOF
ROPE,Maker,ROPE
ROYAL,... Of Corps,ROYAL
RPTR,Rtr,RPTR
RR,Dame Re-N;J~,RR
RRMGR,Rrng,RRMGR
RRR,Rgm,RRR
RST,Rest,RST
RULER,Engineers,RULER
RVR,Retmkr,RVR
SADDLER,Saddler Maker,SADDLER
SAFT,Shmnftr,SAFT
SAIL,Sailor/Sailoress Maker,SAIL
SALE,Maker,SALE
SALOON,Salesman Keeper,SALOON
SALT,Slkp,SALT
SAWFILER,Salter Sawer/Sawyer,SAWFILER
SBRK,'Shfm,SBRK
SCALE,Sawmaker Maker,SCALE
SCH,"Schm""",SCH
SCHOOL,Master,SCHOOL
SCISSORS,"""Scholar",SCISSORS
SCM,Swmkr,SCM
SCRV,Scsm,SCRV
SCULPTOR,Scriviner,SCULPTOR
SDLMKR,Sdlr,SDLMKR
SDM,Sec Sec-Ymca,SDM
SEA,Captain,SEA
SEEDMAN,"Seaman Seamstress S$Cretary Secretary-Ymca"" -.:",SEEDMAN
SELLER,Seller ·­ Of,SELLER
SENATOR,U.S.,SENATOR
SERVANT,Family,SERVANT
SERVICE,Civil,SERVICE
SERVICES,.. Gvts,SERVICES
SERVING,Machinist,SERVING
SETTER,Settel-Up,SETTER
SEWER,Settler Settmaker,SEWER
SGNMKR,Sgrl,SGNMKR
SGNS,Shpc,SGNS
SHAVER,Sharfen,SHAVER
SHB,Shpast,SHB
SHEEP,Shearer Dealer,SHEEP
SHEET,Manufacturer,SHEET
SHF,Smsts,SHF
SHFM,Shfm,SHFM
SHIP,Shepherd Shipbroker Chandler,SHIP
SHIPPING,Shipper,SHIPPING
SHIRT,Shipsmith Shipwright Maker,SHIRT
SHMFTR,Shfm,SHMFTR
SHMK,Shbnd,SHMK
SHOE,I Shoemaker Manufacturer,SHOE
SHOP,Assistant,SHOP
SHPG,Shpr,SHPG
SHPMKR,Shchnd,SHPMKR
SHPMN,Shpkr,SHPMN
SHPO,Cpt,SHPO
SHPWRT,Shsm,SHPWRT
SHR,Shv,SHR
SIEVE,Showman Maker,SIEVE
SIGAR,Lab,SIGAR
SIGN,Painter,SIGN
SILK,Manufacturer,SILK
SING,(Singer),SING
SINGER,Plater Sil~R Silversmith,SINGER
