job_name,job_code
TENTER,TNT
TERRACE MAKER,TERM
TESSITORE,WVR
THEATRICAL AGENT,AGNTTH
THEOLOGICAL STUDENT,THST
THEOLOGY PROFESSOR,THPROF
THIEF,THF
THREAD MAKER,TMKR
THREAD TENDER,TTDR
TILE MAKER,TILM
TILES,TR
TILLER,TIL
TIMBER CUTTER·,TMCTR
TIMBER MERCHANT,TMBMCHT
TINKER,TKR
TIN MAKER,TNMK
TINMAN,TNM
TINNER,TIR
TINSMITH,TNSTH
TINPLATE WORKER,TIPWK.R
TOBACCO LABORER,TBCL
TOBACCO MANUFACTURER,TBCMNFTR
TOBACCO MERCHANT,TBCMCHT
TOBACCONIST,TBCMCHT
TOOLMAKER,TLM
· TOURIST,TT
TRADE MAN,TRDM
TRADER,.TRD
TRAINER,TRNR
TRAVELER,TRVLR
TREASURER,TRSR
TRIMMER,TRMR
TRIMMING MAKER,TRMM
TRUCKMAN,TRM
TUBE MAKER,TBMR
TUNER OF INSTRUMENTS,TNI
TURNER,TU
TURNER FITTER,TUFTR
TWIN,TW
TWIN-BROTHER,TWB
·TWISTER,TWT
1TYPE FOUNDER,TPF
TYPEOGRAPHER,TPGPH
TYPE SEI'TER,TPS
UNDER-WRITTEN,UWRT
UNDERWRITER,UNDWRT
UPHOLSTERER,UPHST
U.S. CONSUL US,CSL
U.S. NAVY OFFICER,USNO
U.S. SENATOR,USS
VARNISHER,VAR
VASE,MAKER
VELVET WORKER,VLT
VETERINARIAN,VET
VET. SURGEON,VSGN
VICTUALLER,VCLT
VINEGAR MAKER,VINM
VINTNER,VNT
VIOLINLIST,VIOL
VOCALIST,SING
WAGONER/WAGON DRIVER,WGNR
WAGON MAKER,WGGM
WAISTCOAT MAKER,TLRW
WAITER,WTR
WAITRESS,WTRS
WALL CLEANER,WLCR
WAREHOUSE MAN,WRHSMN
WAREHOUSE WORK,WRHWK
WARMER OF FORGE,STK
WARP DRESSER,WLW
WARPER,WRPR
WASH WOMAN,LAD
.WATCHMAN,WMN
WATERMAN,WET
WATERPROOF MAKER,WTRPR
WAX MAKER,WXM
WEAVER/TESSITORE,WVR
WEIGHER,WGHR
WELDER,WLD
WERIDRAWER,WID
WHARF/QUAY WORKER,"Q,A"
WHEELER,WHLR
WHEELRIGHT,WHR
WHITESMITH,WSMH
WIDOW,WI
WIFE,WIFE
WIFE OF,SHIP's
CARPENTER,WCPTRS
WIGMAKER,WGW
WINE GROWER,WGR
WINE MERCHANT,WMCHT
WIRE DRAWER,WIDR
WIRE WEAVER,WIWVR
WIRE WORKER,WIWKR
WITT,WITT
WOOD CARVER,WDCV
WOOD CORDER,WDCDR
